"2025-11-24 02:58:25 INFO  c.e.w.WhodoPaymentorderServiceApplication - Starting WhodoPaymentorderServiceApplication using Java 21.0.6 with PID 76992 (C:\Users\Gonzalo Diaz Mizzau\IdeaProjects\whodo-paymentorder-service\target\classes started by Gonzalo Diaz Mizzau in C:\Users\Gonzalo Diaz Mizzau\IdeaProjects\whodo-paymentorder-service)
""2025-11-24 02:58:27 INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-ypzdqz1-shard-00-00.ndbfjmf.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=230577200, minRoundTripTimeNanos=0, setName='atlas-kc99ih-shard-0', canonicalAddress=ac-ypzdqz1-shard-00-00.ndbfjmf.mongodb.net:27017, hosts=[ac-ypzdqz1-shard-00-02.ndbfjmf.mongodb.net:27017, ac-ypzdqz1-shard-00-01.ndbfjmf.mongodb.net:27017, ac-ypzdqz1-shard-00-00.ndbfjmf.mongodb.net:27017], passives=[], arbiters=[], primary='ac-ypzdqz1-shard-00-02.ndbfjmf.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='sae1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='SA_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=5, topologyVersion=TopologyVersion{processId=691e44c8a579ae2ebb1b35bb, counter=4}, lastWriteDate=Mon Nov 24 02:58:16 ART 2025, lastUpdateTimeNanos=507201149047300}
""2025-11-24 02:58:27 INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-ypzdqz1-shard-00-01.ndbfjmf.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=248341800, minRoundTripTimeNanos=0, setName='atlas-kc99ih-shard-0', canonicalAddress=ac-ypzdqz1-shard-00-01.ndbfjmf.mongodb.net:27017, hosts=[ac-ypzdqz1-shard-00-02.ndbfjmf.mongodb.net:27017, ac-ypzdqz1-shard-00-01.ndbfjmf.mongodb.net:27017, ac-ypzdqz1-shard-00-00.ndbfjmf.mongodb.net:27017], passives=[], arbiters=[], primary='ac-ypzdqz1-shard-00-02.ndbfjmf.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='sae1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='SA_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=5, topologyVersion=TopologyVersion{processId=691e463aa35e15cdc5609bb4, counter=3}, lastWriteDate=Mon Nov 24 02:58:16 ART 2025, lastUpdateTimeNanos=507201149043700}
""2025-11-24 02:58:27 INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-ypzdqz1-shard-00-02.ndbfjmf.mongodb.net:27017 with max election id 7fffffff0000000000000031 and max set version 5
""2025-11-24 02:58:27 INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|reactive-streams|spring-boot", "version": "5.5.2"}, "os": {"type": "Windows", "name": "Windows 10", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/21.0.6+8-LTS-188"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='gonzajd777', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=NettyTransportSettings{eventLoopGroup=io.netty.channel.nio.NioEventLoopGroup@299ea986, socketChannelClass=null, allocator=null, sslContext=null}, commandListeners=[io.micrometer.core.instrument.binder.mongodb.MongoMetricsCommandListener@1dd9a3ae], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@210635fd, com.mongodb.Jep395RecordCodecProvider@63814bbe, com.mongodb.KotlinCodecProvider@3cb195dd]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=whodo-cluster-ar.ndbfjmf.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-kc99ih-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[io.micrometer.core.instrument.binder.mongodb.MongoMetricsConnectionPoolListener@79bf39e5], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
""2025-11-24 02:58:27 INFO  org.mongodb.driver.cluster - Adding discovered server ac-ypzdqz1-shard-00-01.ndbfjmf.mongodb.net:27017 to client view of cluster
""2025-11-24 02:58:27 INFO  org.mongodb.driver.cluster - Adding discovered server ac-ypzdqz1-shard-00-00.ndbfjmf.mongodb.net:27017 to client view of cluster
""2025-11-24 02:58:27 INFO  org.mongodb.driver.cluster - Adding discovered server ac-ypzdqz1-shard-00-02.ndbfjmf.mongodb.net:27017 to client view of cluster
""2025-11-24 02:58:27 INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.5.2"}, "os": {"type": "Windows", "name": "Windows 10", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/21.0.6+8-LTS-188"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='gonzajd777', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=NettyTransportSettings{eventLoopGroup=io.netty.channel.nio.NioEventLoopGroup@450f0d89, socketChannelClass=null, allocator=null, sslContext=null}, commandListeners=[io.micrometer.core.instrument.binder.mongodb.MongoMetricsCommandListener@1dd9a3ae], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@210635fd, com.mongodb.Jep395RecordCodecProvider@63814bbe, com.mongodb.KotlinCodecProvider@3cb195dd]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=whodo-cluster-ar.ndbfjmf.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-kc99ih-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[io.micrometer.core.instrument.binder.mongodb.MongoMetricsConnectionPoolListener@79bf39e5], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
""2025-11-24 02:58:27 INFO  org.mongodb.driver.cluster - Adding discovered server ac-ypzdqz1-shard-00-01.ndbfjmf.mongodb.net:27017 to client view of cluster
""2025-11-24 02:58:27 INFO  org.mongodb.driver.cluster - Adding discovered server ac-ypzdqz1-shard-00-00.ndbfjmf.mongodb.net:27017 to client view of cluster
